Customer_ID,Age,Gender,Annual_Income,Credit_Score,City,Employment_Type
C1000,59,Male,1099484,684,Delhi,Salaried
C1001,49,Female,883650,636,Bengaluru,Salaried
C1002,35,Female,1779295,656,Mumbai,Business
C1003,63,Female,1466936,744,Delhi,Salaried
C1004,28,Female,524855,825,Hyderabad,Salaried
C1005,41,Male,1735979,730,Kolkata,Salaried
C1006,59,Male,1254961,610,Ahmedabad,Salaried
C1007,39,Female,611374,733,Bengaluru,Business
C1008,43,Male,1644811,790,Delhi,Salaried
C1009,31,Female,460783,654,Ahmedabad,Salaried
C1010,31,Female,1314106,690,Bengaluru,Self-Employed
C1011,44,Female,463707,701,Delhi,Salaried
C1012,56,Male,557816,641,Mumbai,Salaried
C1013,60,Female,1658236,749,Hyderabad,Salaried
C1014,44,Female,1166420,691,Hyderabad,Self-Employed
C1015,23,Female,1630503,731,Pune,Business
C1016,42,Male,525114,633,Delhi,Self-Employed
C1017,22,Male,423373,667,Bengaluru,Salaried
C1018,44,Female,527697,754,Hyderabad,Business
C1019,64,Male,1390355,672,Kolkata,Salaried
C1020,50,Male,1398758,830,Hyderabad,Salaried
C1021,58,Male,1226914,670,Chennai,Salaried
C1022,22,Male,1136331,717,Chennai,Salaried
C1023,41,Male,1466836,770,Hyderabad,Salaried
C1024,53,Male,1103159,594,Delhi,Self-Employed
C1025,32,Male,1151129,568,Pune,Business
C1026,42,Male,826701,586,Hyderabad,Salaried
C1027,64,Male,966958,795,Mumbai,Salaried
C1028,45,Male,510904,659,Ahmedabad,Salaried
C1029,47,Female,1276413,850,Bengaluru,Salaried
C1030,62,Female,698349,658,Pune,Self-Employed
C1031,48,Male,964838,714,Mumbai,Salaried
C1032,36,Female,977968,816,Pune,Business
C1033,35,Female,1781405,850,Mumbai,Salaried
C1034,64,Male,259083,850,Bengaluru,Salaried
C1035,23,Male,738819,791,Bengaluru,Salaried
C1036,57,Male,1499432,777,Chennai,Salaried
C1037,27,Female,1594821,744,Delhi,Salaried
C1038,41,Female,957147,758,Mumbai,Self-Employed
C1039,29,Male,1228382,659,Ahmedabad,Salaried
C1040,59,Male,834037,639,Chennai,Self-Employed
C1041,38,Male,1218836,700,Mumbai,Salaried
C1042,24,Female,1021047,687,Chennai,Salaried
C1043,45,Female,786791,666,Bengaluru,Salaried
C1044,34,Female,1482922,752,Pune,Business
C1045,29,Female,789996,772,Kolkata,Salaried
C1046,46,Male,895472,707,Chennai,Self-Employed
C1047,22,Male,1224244,811,Mumbai,Salaried
C1048,40,Male,958513,614,Mumbai,Self-Employed
C1049,48,Male,1386237,685,Kolkata,Salaried
C1050,27,Female,340081,646,Delhi,Self-Employed
C1051,64,Female,568590,560,Ahmedabad,Self-Employed
C1052,28,Male,1073093,694,Bengaluru,Business
C1053,55,Male,861503,691,Mumbai,Salaried
C1054,34,Female,1234730,814,Hyderabad,Salaried
C1055,37,Male,857164,747,Pune,Salaried
C1056,56,Female,1139192,623,Chennai,Business
C1057,60,Male,1292864,839,Delhi,Salaried
C1058,24,Male,231195,792,Ahmedabad,Self-Employed
C1059,22,Male,462725,744,Kolkata,Salaried
C1060,26,Male,625864,683,Pune,Salaried
C1061,62,Male,472231,628,Bengaluru,Salaried
C1062,24,Male,885290,672,Delhi,Business
C1063,49,Male,344053,782,Ahmedabad,Self-Employed
C1064,38,Female,773586,841,Chennai,Business
C1065,46,Female,1665200,816,Chennai,Salaried
C1066,64,Female,1268075,663,Kolkata,Self-Employed
C1067,54,Female,1616536,616,Hyderabad,Self-Employed
C1068,30,Female,625485,711,Kolkata,Salaried
C1069,56,Male,1473774,567,Bengaluru,Business
C1070,34,Male,1696111,724,Delhi,Business
C1071,51,Female,1539507,689,Delhi,Business
C1072,35,Male,1526208,665,Mumbai,Self-Employed
C1073,28,Female,516585,580,Hyderabad,Salaried
C1074,34,Female,202431,739,Hyderabad,Salaried
C1075,43,Male,1552401,660,Delhi,Business
C1076,60,Male,1423131,612,Delhi,Salaried
C1077,41,Male,827008,485,Pune,Self-Employed
C1078,36,Female,753441,698,Ahmedabad,Self-Employed
C1079,65,Male,448512,833,Pune,Self-Employed
C1080,38,Female,1078792,825,Pune,Business
C1081,44,Female,356076,666,Hyderabad,Salaried
C1082,46,Female,1448300,655,Mumbai,Salaried
