Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Application_Date,Loan_Status
L5000,C1077,Business Loan,477946,13.7,36,2026-04-02,Rejected
L5001,C1946,Personal Loan,81533,9.91,12,2025-05-21,Default
L5002,C1601,Home Loan,5888880,17.07,12,2025-07-06,Approved
L5003,C1687,Education Loan,964899,10.43,120,2026-05-14,Approved
L5004,C1020,Business Loan,563503,9.98,60,2026-03-11,Approved
L5005,C1565,Home Loan,3118292,9.73,12,2024-06-16,Approved
L5006,C1183,Home Loan,2826393,8.24,84,2025-06-29,Pending
L5007,C1870,Auto Loan,1531064,13.48,84,2026-04-09,Approved
L5008,C1221,Business Loan,3302083,8.52,48,2026-02-25,Default
L5009,C1826,Business Loan,631922,11.6,120,2025-03-02,Approved
L5010,C1327,Personal Loan,332745,12.03,120,2025-12-09,Default
L5011,C1178,Home Loan,2094416,6.75,240,2025-12-03,Approved
L5012,C1787,Home Loan,2785196,6.7,12,2024-08-08,Pending
L5013,C1111,Education Loan,543035,12.74,60,2024-01-10,Default
L5014,C1735,Auto Loan,1201920,14.85,36,2024-04-29,Default
L5015,C1725,Auto Loan,559267,17.81,120,2025-09-26,Approved
L5016,C1058,Business Loan,2179466,8.65,48,2024-09-03,Approved
L5017,C1326,Personal Loan,713440,7.74,48,2024-12-25,Rejected
L5018,C1904,Personal Loan,739317,7.13,12,2024-08-08,Approved
L5019,C1620,Home Loan,5352636,11.73,12,2026-02-11,Approved
L5020,C1896,Personal Loan,171292,13.98,24,2025-05-20,Approved
L5021,C1668,Personal Loan,140570,16.59,24,2024-02-27,Approved
L5022,C1190,Personal Loan,534540,14.69,12,2026-04-06,Approved
L5023,C1199,Auto Loan,1195791,9.0,180,2025-04-04,Approved
L5024,C1311,Business Loan,2520943,12.04,84,2024-05-07,Approved
L5025,C1707,Home Loan,3862138,17.42,84,2025-11-29,Approved
L5026,C1034,Home Loan,2341121,10.42,240,2025-12-17,Approved
L5027,C1378,Personal Loan,565689,12.48,60,2024-03-26,Approved
L5028,C1386,Education Loan,984807,18.0,48,2024-04-13,Approved
L5029,C1757,Education Loan,856349,15.32,84,2024-05-22,Pending
L5030,C1236,Auto Loan,930281,15.47,180,2024-07-23,Default
L5031,C1615,Personal Loan,526984,9.53,12,2025-10-02,Default
L5032,C1518,Personal Loan,421024,11.48,120,2026-01-27,Pending
L5033,C1282,Personal Loan,412470,7.49,180,2024-02-07,Approved
L5034,C1000,Auto Loan,346903,13.78,240,2024-12-28,Rejected
L5035,C1730,Education Loan,145708,7.74,180,2025-09-12,Approved
L5036,C1463,Business Loan,3810278,16.53,120,2024-11-04,Rejected
L5037,C1229,Home Loan,2015442,16.27,36,2024-02-21,Approved
L5038,C1966,Education Loan,583157,12.9,24,2024-01-01,Approved
L5039,C1171,Business Loan,3615537,8.19,36,2024-01-11,Approved
L5040,C1086,Personal Loan,183692,6.81,48,2026-04-05,Approved
L5041,C1552,Home Loan,3391318,16.06,48,2026-01-16,Rejected
L5042,C1122,Business Loan,3155681,13.7,84,2025-10-01,Approved
L5043,C1842,Personal Loan,216129,15.03,120,2024-08-01,Approved
L5044,C1297,Business Loan,1257642,10.15,48,2026-01-24,Approved
L5045,C1884,Business Loan,3131902,12.61,84,2025-07-09,Approved
L5046,C1928,Auto Loan,253024,15.47,240,2025-06-01,Approved
L5047,C1689,Education Loan,642112,12.05,84,2025-10-29,Pending
L5048,C1574,Education Loan,618534,13.72,36,2025-02-18,Approved
L5049,C1483,Auto Loan,248926,15.98,12,2024-01-08,Approved
L5050,C1164,Personal Loan,217932,9.08,60,2024-01-05,Approved
L5051,C1698,Personal Loan,325119,7.29,36,2024-12-27,Rejected
L5052,C1382,Personal Loan,799037,12.88,180,2025-11-24,Rejected
L5053,C1208,Auto Loan,881908,7.25,12,2024-04-21,Rejected
L5054,C1738,Personal Loan,413114,15.7,24,2024-09-29,Rejected
L5055,C1431,Personal Loan,533791,15.13,36,2025-02-25,Pending
L5056,C1388,Personal Loan,672354,17.08,36,2024-09-21,Pending
L5057,C1559,Auto Loan,894096,14.17,180,2025-04-02,Rejected
L5058,C1223,Business Loan,2458714,7.31,60,2024-07-30,Approved
L5059,C1002,Business Loan,3748281,9.54,180,2024-03-18,Rejected
L5060,C1371,Home Loan,2850181,16.2,84,2026-02-20,Approved
L5061,C1686,Business Loan,1096266,8.51,24,2025-10-27,Rejected
L5062,C1445,Education Loan,625128,14.88,48,2024-08-08,Pending
L5063,C1610,Home Loan,5729073,15.86,240,2025-01-03,Rejected
L5064,C1115,Auto Loan,231568,10.46,48,2024-12-12,Pending
L5065,C1269,Personal Loan,711259,10.37,60,2024-01-25,Approved
L5066,C1446,Business Loan,910326,13.19,60,2025-02-23,Approved
L5067,C1367,Home Loan,2045749,16.84,180,2024-12-19,Approved
L5068,C1252,Home Loan,1756277,9.19,84,2025-12-20,Pending
L5069,C1316,Auto Loan,329789,17.8,120,2025-02-20,Pending
L5070,C1414,Personal Loan,419604,13.69,84,2025-05-29,Rejected
L5071,C1094,Personal Loan,551994,18.41,60,2024-08-02,Rejected
L5072,C1784,Auto Loan,274723,7.58,60,2024-04-21,Rejected
L5073,C1891,Personal Loan,416338,8.02,36,2025-12-04,Default
L5074,C1023,Auto Loan,1121815,16.42,120,2025-07-12,Pending
L5075,C1627,Home Loan,4526904,16.88,60,2025-03-03,Rejected
L5076,C1662,Auto Loan,907494,11.85,120,2026-01-02,Rejected
L5077,C1849,Auto Loan,1733017,15.07,24,2025-11-29,Approved
L5078,C1049,Home Loan,1592515,16.91,240,2025-07-15,Rejected
L5079,C1501,Auto Loan,1593196,7.02,180,2025-12-09,Approved
L5080,C1717,Auto Loan,1235211,13.39,60,2024-08-03,Approved
L5081,C1497,Education Loan,192416,16.74,24,2025-02-16,Pending
L5082,C1334,Auto Loan,847122,11.28,84,2026-01-02,Approved
L5083,C1078,Business Loan,2061331,10.13,180,2025-01-14,Default
L5084,C1581,Personal Loan,365315,16.05,120,2025-08-24,Approved
L5085,C1026,Home Loan,950594,10.53,180,2024-08-19,Approved
L5086,C1270,Business Loan,1020892,6.54,48,2026-04-14,Approved
L5087,C1561,Home Loan,4863903,18.01,36,2024-09-14,Approved
L5088,C1803,Personal Loan,83545,13.61,120,2025-10-26,Approved
L5089,C1246,Home Loan,5179455,16.33,24,2024-09-12,Approved
L5090,C1775,Personal Loan,85790,16.4,60,2025-02-06,Approved
L5091,C1590,Personal Loan,625300,7.3,120,2025-02-27,Approved
L5092,C1386,Business Loan,2514979,8.55,12,2026-02-08,Approved
L5093,C1701,Home Loan,4205851,10.23,48,2024-03-05,Rejected
