Payment_ID,Loan_ID,Payment_Date,Payment_Amount,Payment_Status
P8000,L6268,2026-03-02,93037,Paid
P8001,L6795,2025-11-23,78827,Missed
P8002,L6539,2025-04-16,80195,Missed
P8003,L5392,2025-09-12,58387,Paid
P8004,L6166,2025-12-24,28226,Paid
P8005,L6527,2026-03-20,9500,Paid
P8006,L5793,2025-04-23,4634,Late
P8007,L5219,2025-01-30,17059,Paid
P8008,L5838,2026-06-08,73350,Paid
P8009,L5159,2025-02-15,7076,Paid
P8010,L6099,2025-06-20,41210,Missed
P8011,L5610,2025-05-10,28931,Paid
P8012,L6715,2025-12-19,35007,Paid
P8013,L5638,2025-07-22,25744,Paid
P8014,L6055,2025-08-14,33396,Paid
P8015,L5776,2025-03-21,91619,Paid
P8016,L5333,2025-11-06,52954,Late
P8017,L6548,2025-02-04,93812,Late
P8018,L6463,2026-07-18,69038,Paid
P8019,L5891,2025-06-10,15756,Late
P8020,L5939,2026-08-19,82798,Paid
P8021,L5351,2026-03-11,13605,Paid
P8022,L6362,2026-06-22,25416,Missed
P8023,L5925,2025-08-13,59558,Paid
P8024,L6423,2026-03-22,40487,Paid
P8025,L5395,2025-11-13,96079,Missed
P8026,L6225,2026-02-18,99816,Paid
P8027,L5529,2025-04-05,5870,Paid
P8028,L6116,2025-08-13,7758,Missed
P8029,L5357,2026-07-07,41736,Paid
P8030,L6419,2025-03-07,80195,Paid
P8031,L5827,2026-02-01,68138,Paid
P8032,L5059,2025-07-29,53250,Paid
P8033,L5476,2026-04-19,43558,Paid
P8034,L6749,2026-07-25,56092,Late
P8035,L5611,2026-05-05,78121,Paid
P8036,L5000,2025-06-29,96439,Paid
P8037,L6578,2026-06-08,58604,Paid
P8038,L5310,2026-04-04,40039,Paid
P8039,L5167,2025-03-09,72859,Late
P8040,L5191,2025-11-25,95506,Paid
P8041,L6057,2025-07-21,51745,Late
P8042,L6057,2026-04-20,8461,Paid
P8043,L6711,2026-06-02,43831,Paid
P8044,L6440,2025-01-15,54137,Paid
P8045,L5707,2025-02-11,37030,Paid
P8046,L6181,2026-06-27,8731,Paid
P8047,L6780,2025-10-16,24500,Paid
P8048,L6523,2026-06-17,78439,Late
P8049,L5365,2025-09-01,36117,Paid
P8050,L6363,2026-07-21,97138,Late
P8051,L5857,2026-08-21,34174,Paid
P8052,L6358,2025-06-23,36208,Paid
P8053,L6606,2026-06-18,87728,Paid
P8054,L5326,2026-05-24,82435,Paid
P8055,L5113,2025-09-01,87482,Late
P8056,L5796,2025-03-01,71688,Paid
